,vtec_mean,vtec_std,vtec_min,vtec_max,n_maps
2019-05-02 12:00:00+00:00,14.042259199999998,,14.042259199999998,14.042259199999998,1
2019-05-02 12:30:00+00:00,,,,,0
2019-05-02 13:00:00+00:00,16.899718399999998,,16.899718399999998,16.899718399999998,1
2019-05-02 13:30:00+00:00,,,,,0
2019-05-02 14:00:00+00:00,19.6849408,,19.6849408,19.6849408,1
2019-05-02 14:30:00+00:00,,,,,0
2019-05-02 15:00:00+00:00,19.7892224,,19.7892224,19.7892224,1
2019-05-02 15:30:00+00:00,,,,,0
2019-05-02 16:00:00+00:00,17.298822399999995,,17.298822399999995,17.298822399999995,1
2019-05-02 16:30:00+00:00,,,,,0
2019-05-02 17:00:00+00:00,16.388703999999997,,16.388703999999997,16.388703999999997,1
2019-05-02 17:30:00+00:00,,,,,0
2019-05-02 18:00:00+00:00,15.115103999999999,,15.115103999999999,15.115103999999999,1
2019-05-02 18:30:00+00:00,,,,,0
2019-05-02 19:00:00+00:00,14.239763199999999,,14.239763199999999,14.239763199999999,1
2019-05-02 19:30:00+00:00,,,,,0
2019-05-02 20:00:00+00:00,14.030963199999999,,14.030963199999999,14.030963199999999,1
2019-05-02 20:30:00+00:00,,,,,0
2019-05-02 21:00:00+00:00,13.712422400000001,,13.712422400000001,13.712422400000001,1
2019-05-02 21:30:00+00:00,,,,,0
2019-05-02 22:00:00+00:00,10.5034816,,10.5034816,10.5034816,1
2019-05-02 22:30:00+00:00,,,,,0
2019-05-02 23:00:00+00:00,8.638540800000001,,8.638540800000001,8.638540800000001,1
2019-05-02 23:30:00+00:00,,,,,0
2019-05-03 00:00:00+00:00,6.823059199999999,,6.823059199999999,6.823059199999999,1
2019-05-03 00:30:00+00:00,,,,,0
2019-05-03 01:00:00+00:00,5.7502592,,5.7502592,5.7502592,1
2019-05-03 01:30:00+00:00,,,,,0
2019-05-03 02:00:00+00:00,5.7502592,,5.7502592,5.7502592,1
2019-05-03 02:30:00+00:00,,,,,0
2019-05-03 03:00:00+00:00,5.5792,,5.5792,5.5792,1
2019-05-03 03:30:00+00:00,,,,,0
2019-05-03 04:00:00+00:00,4.833600000000001,,4.833600000000001,4.833600000000001,1
2019-05-03 04:30:00+00:00,,,,,0
2019-05-03 05:00:00+00:00,4.583859200000001,,4.583859200000001,4.583859200000001,1
2019-05-03 05:30:00+00:00,,,,,0
2019-05-03 06:00:00+00:00,6.4638592,,6.4638592,6.4638592,1
2019-05-03 06:30:00+00:00,,,,,0
2019-05-03 07:00:00+00:00,8.8536,,8.8536,8.8536,1
2019-05-03 07:30:00+00:00,,,,,0
2019-05-03 08:00:00+00:00,9.5472,,9.5472,9.5472,1
2019-05-03 08:30:00+00:00,,,,,0
2019-05-03 09:00:00+00:00,9.9357184,,9.9357184,9.9357184,1
2019-05-03 09:30:00+00:00,,,,,0
2019-05-03 10:00:00+00:00,11.8069184,,11.8069184,11.8069184,1
2019-05-03 10:30:00+00:00,,,,,0
2019-05-03 11:00:00+00:00,14.413459199999998,,14.413459199999998,14.413459199999998,1
2019-05-03 11:30:00+00:00,,,,,0
2019-05-03 12:00:00+00:00,17.125177599999997,,17.125177599999997,17.125177599999997,1
2019-05-03 12:30:00+00:00,,,,,0
2019-05-03 13:00:00+00:00,20.519718399999995,,20.519718399999995,20.519718399999995,1
2019-05-03 13:30:00+00:00,,,,,0
2019-05-03 14:00:00+00:00,23.4848,,23.4848,23.4848,1
2019-05-03 14:30:00+00:00,,,,,0
2019-05-03 15:00:00+00:00,24.975340799999998,,24.975340799999998,24.975340799999998,1
2019-05-03 15:30:00+00:00,,,,,0
2019-05-03 16:00:00+00:00,24.025363199999994,,24.025363199999994,24.025363199999994,1
2019-05-03 16:30:00+00:00,,,,,0
2019-05-03 17:00:00+00:00,24.252044799999993,,24.252044799999993,24.252044799999993,1
2019-05-03 17:30:00+00:00,,,,,0
2019-05-03 18:00:00+00:00,21.958726399999996,,21.958726399999996,21.958726399999996,1
2019-05-03 18:30:00+00:00,,,,,0
2019-05-03 19:00:00+00:00,17.583104,,17.583104,17.583104,1
2019-05-03 19:30:00+00:00,,,,,0
2019-05-03 20:00:00+00:00,14.506963199999998,,14.506963199999998,14.506963199999998,1
2019-05-03 20:30:00+00:00,,,,,0
2019-05-03 21:00:00+00:00,9.736422399999999,,9.736422399999999,9.736422399999999,1
2019-05-03 21:30:00+00:00,,,,,0
2019-05-03 22:00:00+00:00,6.6329408,,6.6329408,6.6329408,1
2019-05-03 22:30:00+00:00,,,,,0
2019-05-03 23:00:00+00:00,5.9376,,5.9376,5.9376,1
2019-05-03 23:30:00+00:00,,,,,0
2019-05-04 00:00:00+00:00,6.069459200000001,,6.069459200000001,6.069459200000001,1
2019-05-04 00:30:00+00:00,,,,,0
