start,end,Bz_min,duration_h
2018-12-28 00:10:00+00:00,2018-12-28 00:10:00+00:00,-10.99,0.0
2018-12-28 06:05:00+00:00,2018-12-28 06:10:00+00:00,-10.34,0.08333333333333333
2018-12-28 06:20:00+00:00,2018-12-28 06:20:00+00:00,-10.01,0.0
2019-01-31 20:20:00+00:00,2019-01-31 20:20:00+00:00,-10.55,0.0
2019-01-31 21:40:00+00:00,2019-01-31 21:40:00+00:00,-11.74,0.0
2019-02-01 07:15:00+00:00,2019-02-01 07:25:00+00:00,-11.48,0.16666666666666666
2019-02-01 07:35:00+00:00,2019-02-01 07:35:00+00:00,-10.08,0.0
2019-05-11 07:35:00+00:00,2019-05-11 08:25:00+00:00,-11.59,0.8333333333333334
2019-05-11 09:00:00+00:00,2019-05-11 10:00:00+00:00,-10.88,1.0
2019-05-11 10:35:00+00:00,2019-05-11 11:30:00+00:00,-10.44,0.9166666666666666
2019-05-14 04:15:00+00:00,2019-05-14 04:40:00+00:00,-10.73,0.4166666666666667
2019-05-14 06:05:00+00:00,2019-05-14 06:05:00+00:00,-10.32,0.0
2019-05-14 06:15:00+00:00,2019-05-14 06:15:00+00:00,-10.14,0.0
